track_id,genre,subgenres
000002,Hip-Hop,['Hip-Hop']
000005,Hip-Hop,['Hip-Hop']
000010,Pop,['Pop']
000140,Folk,['Folk']
000141,Folk,['Folk']
000148,Experimental,"['Avant-Garde', 'Experimental']"
000182,Rock,"['Lo-Fi', 'Rock']"
000190,Folk,['Folk']
000193,Folk,['Folk']
000194,Folk,['Folk']
000197,Folk,['Folk']
000200,Folk,['Folk']
000203,Folk,['Folk']
000204,Folk,['Folk']
000207,Folk,['Folk']
000210,Folk,['Folk']
000211,Folk,['Folk']
000212,Folk,['Folk']
000213,Pop,['Pop']
000255,Rock,['Rock']
000256,Rock,"['Rock', 'Metal']"
000368,Rock,"['Post-Punk', 'Rock', 'Punk']"
000424,Experimental,"['Avant-Garde', 'Experimental']"
000459,Rock,"['Krautrock', 'Rock']"
000534,Folk,['Folk']
000540,Folk,['Folk']
000546,Folk,['Folk']
000574,Rock,"['Punk', 'Rock']"
000602,Folk,['Folk']
000615,Experimental,"['Electroacoustic', 'Experimental']"
000620,Folk,['Folk']
000621,Folk,['Folk']
000625,Folk,['Folk']
000666,International,"['International', 'Reggae - Dub']"
000667,International,"['International', 'Reggae - Dub']"
000676,Hip-Hop,['Hip-Hop']
000690,Rock,['Rock']
000694,Hip-Hop,['Hip-Hop']
000695,Hip-Hop,['Hip-Hop']
000704,International,"['International', 'Latin America']"
000705,International,"['International', 'Latin America']"
000706,International,"['International', 'Latin America']"
000707,International,"['International', 'Latin America']"
000708,International,"['International', 'Latin America']"
000709,International,"['International', 'Latin America']"
000714,Folk,['Folk']
000715,Folk,['Folk']
000716,Folk,['Folk']
000718,Folk,['Folk']
000777,Rock,['Rock']
000814,Folk,['Folk']
000821,Pop,['Pop']
000822,Pop,['Pop']
000825,Rock,"['Psych-Rock', 'Indie-Rock', 'Rock', 'Loud-Rock']"
000853,International,['International']
000890,Folk,"['Free-Folk', 'Folk']"
000892,Folk,"['Free-Folk', 'Folk']"
000897,Experimental,"['Noise', 'Experimental']"
000993,Rock,['Rock']
000995,Experimental,"['Noise', 'Experimental']"
000997,Experimental,"['Noise', 'Experimental']"
000998,Experimental,"['Noise', 'Experimental']"
001039,Rock,"['Loud-Rock', 'Rock', 'Noise-Rock']"
001040,Rock,"['Loud-Rock', 'Rock', 'Noise-Rock']"
001066,Experimental,"['Experimental', 'Audio Collage']"
001069,Experimental,"['Experimental', 'Audio Collage']"
