track_id,reason,genre,subgenres
000003,file not found,Hip-Hop,['Hip-Hop']
000134,file not found,Hip-Hop,['Hip-Hop']
000135,file not found,Rock,"['Psych-Rock', 'Rock', 'Loud-Rock']"
000136,file not found,Rock,"['Psych-Rock', 'Rock', 'Loud-Rock']"
000137,file not found,Experimental,"['Noise', 'Avant-Garde', 'Experimental']"
000138,file not found,Experimental,"['Noise', 'Avant-Garde', 'Experimental']"
000139,file not found,Folk,['Folk']
000142,file not found,Folk,['Folk']
000144,file not found,Jazz,['Jazz']
000145,file not found,Jazz,['Jazz']
000146,file not found,Jazz,['Jazz']
000147,file not found,Jazz,['Jazz']
000149,file not found,Experimental,"['Avant-Garde', 'Experimental']"
000150,file not found,Experimental,"['Avant-Garde', 'Experimental']"
000151,file not found,Rock,"['Punk', 'Rock']"
000152,file not found,Rock,"['Punk', 'Rock']"
000153,file not found,Rock,"['Post-Rock', 'Rock']"
000154,file not found,Rock,"['Post-Rock', 'Rock']"
000155,file not found,Rock,"['Post-Rock', 'Rock']"
000156,file not found,Experimental,"['Experimental', 'Field Recordings']"
000157,file not found,Experimental,"['Experimental', 'Field Recordings']"
000158,file not found,Experimental,"['Experimental', 'Field Recordings']"
000159,file not found,Experimental,"['Experimental', 'Field Recordings']"
000160,file not found,Experimental,"['Experimental', 'Field Recordings']"
000161,file not found,Experimental,"['Experimental', 'Field Recordings']"
000162,file not found,Experimental,"['Experimental', 'Field Recordings']"
000163,file not found,Experimental,"['Experimental', 'Field Recordings']"
000164,file not found,Experimental,"['Experimental', 'Field Recordings']"
000165,file not found,Experimental,"['Experimental', 'Field Recordings']"
000166,file not found,Experimental,"['Experimental', 'Field Recordings']"
000167,file not found,Experimental,"['Experimental', 'Field Recordings']"
000168,file not found,Experimental,"['Experimental', 'Field Recordings']"
000169,file not found,Rock,"['Punk', 'Rock']"
000170,file not found,Rock,"['Punk', 'Rock']"
000171,file not found,Rock,"['Punk', 'Rock']"
000172,file not found,Rock,"['Punk', 'Rock']"
000173,file not found,Rock,"['Punk', 'Rock']"
000174,file not found,Rock,"['Punk', 'Rock']"
000175,file not found,Rock,"['Punk', 'Rock']"
000176,file not found,Rock,"['Punk', 'Rock']"
000177,file not found,Rock,"['Punk', 'Rock']"
000178,file not found,Rock,"['Punk', 'Rock']"
