track_id,genre_top,subgenres
2,Hip-Hop,['Hip-Hop']
3,Hip-Hop,['Hip-Hop']
5,Hip-Hop,['Hip-Hop']
10,Pop,['Pop']
134,Hip-Hop,['Hip-Hop']
135,Rock,"['Psych-Rock', 'Rock', 'Loud-Rock']"
136,Rock,"['Psych-Rock', 'Rock', 'Loud-Rock']"
137,Experimental,"['Noise', 'Avant-Garde', 'Experimental']"
138,Experimental,"['Noise', 'Avant-Garde', 'Experimental']"
139,Folk,['Folk']
140,Folk,['Folk']
141,Folk,['Folk']
142,Folk,['Folk']
144,Jazz,['Jazz']
145,Jazz,['Jazz']
146,Jazz,['Jazz']
147,Jazz,['Jazz']
148,Experimental,"['Avant-Garde', 'Experimental']"
149,Experimental,"['Avant-Garde', 'Experimental']"
150,Experimental,"['Avant-Garde', 'Experimental']"
151,Rock,"['Punk', 'Rock']"
152,Rock,"['Punk', 'Rock']"
153,Rock,"['Post-Rock', 'Rock']"
154,Rock,"['Post-Rock', 'Rock']"
155,Rock,"['Post-Rock', 'Rock']"
156,Experimental,"['Experimental', 'Field Recordings']"
157,Experimental,"['Experimental', 'Field Recordings']"
158,Experimental,"['Experimental', 'Field Recordings']"
159,Experimental,"['Experimental', 'Field Recordings']"
160,Experimental,"['Experimental', 'Field Recordings']"
161,Experimental,"['Experimental', 'Field Recordings']"
162,Experimental,"['Experimental', 'Field Recordings']"
163,Experimental,"['Experimental', 'Field Recordings']"
164,Experimental,"['Experimental', 'Field Recordings']"
165,Experimental,"['Experimental', 'Field Recordings']"
166,Experimental,"['Experimental', 'Field Recordings']"
167,Experimental,"['Experimental', 'Field Recordings']"
168,Experimental,"['Experimental', 'Field Recordings']"
169,Rock,"['Punk', 'Rock']"
170,Rock,"['Punk', 'Rock']"
171,Rock,"['Punk', 'Rock']"
172,Rock,"['Punk', 'Rock']"
173,Rock,"['Punk', 'Rock']"
174,Rock,"['Punk', 'Rock']"
175,Rock,"['Punk', 'Rock']"
176,Rock,"['Punk', 'Rock']"
177,Rock,"['Punk', 'Rock']"
178,Rock,"['Punk', 'Rock']"
179,Rock,"['Punk', 'Rock']"
181,Rock,"['Lo-Fi', 'Rock']"
182,Rock,"['Lo-Fi', 'Rock']"
183,Rock,"['Lo-Fi', 'Rock']"
184,Rock,"['Lo-Fi', 'Rock']"
188,Folk,['Folk']
189,Folk,['Folk']
190,Folk,['Folk']
191,Folk,['Folk']
192,Folk,['Folk']
193,Folk,['Folk']
194,Folk,['Folk']
195,Folk,['Folk']
196,Folk,['Folk']
197,Folk,['Folk']
198,Folk,['Folk']
199,Folk,['Folk']
200,Folk,['Folk']
201,Folk,['Folk']
202,Folk,['Folk']
203,Folk,['Folk']
204,Folk,['Folk']
205,Folk,['Folk']
206,Folk,['Folk']
207,Folk,['Folk']
208,Folk,['Folk']
209,Folk,['Folk']
210,Folk,['Folk']
211,Folk,['Folk']
212,Folk,['Folk']
213,Pop,['Pop']
226,Rock,"['Punk', 'Rock']"
228,Rock,"['Punk', 'Rock']"
237,Jazz,['Jazz']
238,Jazz,['Jazz']
247,Rock,['Rock']
249,Rock,['Rock']
252,Rock,['Rock']
255,Rock,['Rock']
256,Rock,"['Rock', 'Metal']"
257,Rock,"['Rock', 'Metal']"
258,Rock,"['Rock', 'Metal']"
273,Experimental,"['Noise', 'Experimental']"
274,Experimental,"['Noise', 'Experimental']"
275,Experimental,"['Noise', 'Experimental']"
276,Experimental,"['Noise', 'Experimental']"
277,Experimental,"['Noise', 'Experimental']"
281,Experimental,"['Noise', 'Experimental']"
282,Experimental,"['Noise', 'Experimental']"
284,Experimental,"['Noise', 'Experimental']"
285,Experimental,"['Noise', 'Experimental']"
293,Experimental,"['Noise', 'Experimental']"
294,Experimental,"['Noise', 'Experimental']"
297,Experimental,"['Noise', 'Experimental']"
300,Experimental,"['Noise', 'Experimental']"
303,Rock,"['Post-Punk', 'Rock', 'Punk']"
304,Rock,"['Post-Punk', 'Rock', 'Punk']"
305,Rock,"['Post-Punk', 'Rock', 'Punk']"
306,Rock,"['Post-Punk', 'Rock', 'Punk']"
307,Rock,"['Post-Punk', 'Rock', 'Punk']"
308,Rock,"['Post-Punk', 'Rock', 'Punk']"
309,Rock,"['Post-Punk', 'Rock', 'Punk']"
310,Rock,"['Post-Punk', 'Rock', 'Punk']"
311,Rock,"['Post-Punk', 'Rock', 'Punk']"
312,Rock,"['Post-Punk', 'Rock', 'Punk']"
313,Rock,"['Post-Punk', 'Rock', 'Punk']"
314,Rock,"['Post-Punk', 'Rock', 'Punk']"
315,Rock,"['Post-Punk', 'Rock', 'Punk']"
316,Rock,"['Post-Punk', 'Rock', 'Punk']"
317,Rock,"['Post-Punk', 'Rock', 'Punk']"
318,Rock,"['Post-Punk', 'Rock', 'Punk']"
319,Rock,"['Post-Punk', 'Rock', 'Punk']"
320,Rock,"['Post-Punk', 'Rock', 'Punk']"
321,Rock,"['Post-Punk', 'Rock', 'Punk']"
322,Rock,"['Post-Punk', 'Rock', 'Punk']"
323,Rock,"['Post-Punk', 'Rock', 'Punk']"
324,Rock,"['Post-Punk', 'Rock', 'Punk']"
325,Rock,"['Post-Punk', 'Rock', 'Punk']"
326,Rock,"['Post-Punk', 'Rock', 'Punk']"
327,Rock,"['Post-Punk', 'Rock', 'Punk']"
328,Rock,"['Post-Punk', 'Rock', 'Punk']"
330,Rock,"['Post-Punk', 'Rock', 'Punk']"
331,Rock,"['Post-Punk', 'Rock', 'Punk']"
332,Rock,"['Post-Punk', 'Rock', 'Punk']"
333,Rock,"['Post-Punk', 'Rock', 'Punk']"
334,Rock,"['Post-Punk', 'Rock', 'Punk']"
335,Rock,"['Post-Punk', 'Rock', 'Punk']"
336,Rock,"['Post-Punk', 'Rock', 'Punk']"
337,Rock,"['Post-Punk', 'Rock', 'Punk']"
338,Rock,"['Post-Punk', 'Rock', 'Punk']"
339,Rock,"['Post-Punk', 'Rock', 'Punk']"
340,Rock,"['Post-Punk', 'Rock', 'Punk']"
341,Rock,"['Post-Punk', 'Rock', 'Punk']"
342,Rock,"['Post-Punk', 'Rock', 'Punk']"
343,Rock,"['Post-Punk', 'Rock', 'Punk']"
344,Rock,"['Post-Punk', 'Rock', 'Punk']"
345,Rock,"['Post-Punk', 'Rock', 'Punk']"
346,Rock,"['Post-Punk', 'Rock', 'Punk']"
347,Rock,"['Post-Punk', 'Rock', 'Punk']"
348,Rock,"['Post-Punk', 'Rock', 'Punk']"
349,Rock,"['Post-Punk', 'Rock', 'Punk']"
350,Rock,"['Post-Punk', 'Rock', 'Punk']"
351,Rock,"['Post-Punk', 'Rock', 'Punk']"
352,Rock,"['Post-Punk', 'Rock', 'Punk']"
353,Rock,"['Post-Punk', 'Rock', 'Punk']"
354,Rock,"['Post-Punk', 'Rock', 'Punk']"
355,Rock,"['Post-Punk', 'Rock', 'Punk']"
356,Rock,"['Post-Punk', 'Rock', 'Punk']"
357,Rock,"['Post-Punk', 'Rock', 'Punk']"
358,Rock,"['Post-Punk', 'Rock', 'Punk']"
359,Rock,"['Post-Punk', 'Rock', 'Punk']"
360,Rock,"['Post-Punk', 'Rock', 'Punk']"
361,Rock,"['Post-Punk', 'Rock', 'Punk']"
362,Rock,"['Post-Punk', 'Rock', 'Punk']"
363,Rock,"['Post-Punk', 'Rock', 'Punk']"
364,Rock,"['Post-Punk', 'Rock', 'Punk']"
365,Rock,"['Post-Punk', 'Rock', 'Punk']"
366,Rock,"['Post-Punk', 'Rock', 'Punk']"
367,Rock,"['Post-Punk', 'Rock', 'Punk']"
368,Rock,"['Post-Punk', 'Rock', 'Punk']"
369,Rock,"['Post-Punk', 'Rock', 'Punk']"
370,Rock,"['Post-Punk', 'Rock', 'Punk']"
371,Rock,"['Post-Punk', 'Rock', 'Punk']"
384,Electronic,['Electronic']
385,Electronic,['Electronic']
386,Electronic,['Electronic']
387,Electronic,['Electronic']
393,Rock,['Rock']
394,Rock,['Rock']
395,Rock,['Rock']
396,Electronic,['Electronic']
397,Electronic,['Electronic']
398,Electronic,['Electronic']
399,Electronic,['Electronic']
400,Electronic,['Electronic']
401,Electronic,['Electronic']
402,Electronic,['Electronic']
403,Electronic,['Electronic']
404,Electronic,['Electronic']
405,Electronic,['Electronic']
406,Electronic,['Electronic']
407,Electronic,['Electronic']
408,Electronic,['Electronic']
410,Electronic,['Electronic']
411,Electronic,['Electronic']
412,Electronic,['Electronic']
414,Electronic,['Electronic']
416,Electronic,['Electronic']
417,Experimental,"['Avant-Garde', 'Experimental']"
419,Experimental,"['Avant-Garde', 'Experimental']"
421,Experimental,"['Avant-Garde', 'Experimental']"
424,Experimental,"['Avant-Garde', 'Experimental']"
425,Experimental,"['Avant-Garde', 'Experimental']"
426,Experimental,"['Avant-Garde', 'Experimental']"
427,Experimental,"['Avant-Garde', 'Experimental']"
428,Experimental,"['Avant-Garde', 'Experimental']"
429,Experimental,"['Avant-Garde', 'Experimental']"
430,Experimental,"['Avant-Garde', 'Experimental']"
431,Experimental,"['Avant-Garde', 'Experimental']"
432,Experimental,"['Avant-Garde', 'Experimental']"
433,Experimental,"['Avant-Garde', 'Experimental']"
434,Experimental,"['Avant-Garde', 'Experimental']"
435,Experimental,"['Avant-Garde', 'Experimental']"
436,Experimental,"['Avant-Garde', 'Experimental']"
437,Experimental,"['Avant-Garde', 'Experimental']"
438,Experimental,"['Avant-Garde', 'Experimental']"
439,Experimental,"['Avant-Garde', 'Experimental']"
458,Rock,"['Krautrock', 'Rock']"
459,Rock,"['Krautrock', 'Rock']"
466,Rock,"['Lo-Fi', 'Rock']"
467,Rock,"['Indie-Rock', 'Lo-Fi', 'Rock']"
468,Rock,"['Punk', 'Lo-Fi', 'Rock']"
469,Rock,"['Indie-Rock', 'Lo-Fi', 'Rock']"
470,Rock,"['Indie-Rock', 'Lo-Fi', 'Rock']"
471,Rock,"['Lo-Fi', 'Rock']"
472,Rock,"['Indie-Rock', 'Lo-Fi', 'Rock']"
